ISO_ALPHA2,CITY_EN_NAME,CITY_KR_NAME
NO,Trøndelag,트뢰넬라그
NO,Møre og Romsdal fylke,Møre og Romsdal fylke
NO,Rogaland Fylke,로갈란주
NO,Agder,아그데르주
NO,Akershus fylke,아케르스후스주
NO,Buskerud fylke,Buskerud fylke
NO,Østfold fylke,외스트폴주
NO,Oslo County,Oslo County
NO,Troms Fylke,트롬스주
NO,Telemark fylke,텔레마르크주
NO,Vestfold fylke,베스트폴주
NO,Finnmark Fylke,핀마르크주
SJ,Jan Mayen,Jan Mayen
NC,Province Sud,Province Sud
NC,Province Nord,Province Nord
NC,Province des îles Loyauté,Province des îles Loyauté
NZ,Bay of Plenty,베이오브플렌티 지방
NZ,Chatham Islands,Chatham Islands
NZ,Wellington,웰링턴 지방
NZ,Manawatu-Wanganui,Manawatu-Wanganui
NZ,Waikato,와이카토 지방
NZ,Tasman,태즈먼 지방
NZ,Taranaki,타라나키 지방
NZ,Southland,사우스랜드 지방
NZ,Northland,노스랜드 지방
NZ,Marlborough,말버러 지방
NZ,Hawke's Bay,호크스베이 지방
NZ,Gisborne,기즈번 지방
NZ,Canterbury,캔터베리 지방
NZ,Auckland,오클랜드 지방
NZ,Nelson,넬슨 지방
NZ,Otago,오타고 지방
NZ,West Coast,웨스트코스트 지방
TK,Fakaofo,Fakaofo
NE,Zinder,잔데르 주
NE,Diffa,디파주
NE,Tillaberi Region,틸라베리주
NE,Tahoua,타우아주
NE,Agadez,아가데즈주
NE,Dosso Region,도소주
NE,Maradi,마라디주
NE,Niamey,Niamey
NI,Costa Caribe Norte,북아틀란티코 자치구
NI,Costa Caribe Sur,남아틀란티코 자치구
NI,Departamento de Rivas,리바스주
NI,Departamento de Río San Juan,리오산후안주
NI,Departamento de Nueva Segovia,누에바세고비아주
NI,Departamento de Matagalpa,마타갈파주
NI,Departamento de Masaya,마사야주
NI,Departamento de Managua,Departamento de Managua
NI,Departamento de Madriz,마드리스주
NI,Departamento de León,레온주
NI,Departamento de Jinotega,히노테가주
NI,Departamento de Granada,그라나다주
NI,Departamento de Estelí,에스텔리주
NI,Departamento de Chontales,촌탈레스주
NI,Departamento de Chinandega,치난데가주
NI,Departamento de Carazo,카라소주
NI,Departamento de Boaco,보아코주
TW,Fukien,푸젠 성
TW,Taiwan,타이완 성
TW,Kaohsiung,가오슝 시
TW,Taipei,타이베이 시
KR,Jeollanam-do,전라남도
KR,Gyeongsangbuk-do,경상북도
KR,Chungcheongbuk-do,충청북도
KR,Gyeongsangnam-do,경상남도
KR,Busan,부산광역시
KR,Ulsan,울산광역시
KR,Daejeon,대전광역시
KR,Daegu,대구광역시
KR,Seoul,서울특별시
KR,Chungcheongnam-do,충청남도
KR,Jeonbuk,전라북도
KR,Jeju-do,제주특별자치도
KR,Gyeonggi-do,경기도
KR,Gwangju,광주광역시
KR,Gangwon,강원도
KR,Incheon,인천광역시
KR,Sejong-si,세종특별자치시
DK,Region Hovedstaden,Region Hovedstaden
DK,Region Midtjylland,중앙윌란 지역
DK,North Denmark Region,북윌란 지역
DK,Region Sjælland,셸란 지역
DK,Region Syddanmark,남덴마크 지역
DO,Provincia de La Vega,Provincia de La Vega
DO,Provincia de La Romana,라로마나주
DO,Provincia de La Altagracia,라알타그라시아주
DO,Provincia de Independencia,인데펜덴시아주
DO,Provincia de Hato Mayor,아토마요르주
DO,Provincia de Puerto Plata,푸에르토플라타주
DO,Provincia de Peravia,Provincia de Peravia
DO,Provincia de Pedernales,페데르날레스주
DO,Distrito Nacional,국가 지구
DO,Provincia de Monte Plata,몬테플라타주
DO,Provincia de Monte Cristi,몬테크리스티주
DO,Provincia de Monseñor Nouel,Provincia de Monseñor Nouel
DO,Provincia María Trinidad Sánchez,Provincia María Trinidad Sánchez
DO,Provincia Espaillat,에스파이야트주
DO,Provincia de El Seibo,Provincia de El Seibo
DO,Provincia de Elías Piña,Provincia de Elías Piña
DO,Provincia Duarte,두아르테주
DO,Provincia de Dajabón,Provincia de Dajabón
DO,Provincia de Valverde,발베르데주
DO,Provincia de Santiago Rodríguez,Provincia de Santiago Rodríguez
DO,Provincia de Santiago,산티아고주
DO,Provincia de San Pedro de Macorís,산페드로데마코리스주
DO,Provincia de San Juan,산후안주
DO,Provincia de San Cristóbal,Provincia de San Cristóbal
DO,Provincia Sánchez Ramírez,Provincia Sánchez Ramírez
DO,Samaná Province,사마나주
DO,Provincia de Hermanas Mirabal,Provincia de Hermanas Mirabal
DO,Provincia de Barahona,바라오나주
DO,Provincia de Baoruco,바오루코주
DO,Provincia de Azua,아수아주
DO,Provincia de San José de Ocoa,Provincia de San José de Ocoa
DO,Provincia de Santo Domingo,산토도밍고주
DM,Saint Peter,세인트피터구
DM,Saint Paul,세인트폴구
DM,Saint Patrick,세인트패트릭구
DM,Saint Mark,세인트마크구
DM,Saint Luke,세인트루크구
DM,Saint Joseph,세인트조지프구
DM,Saint John,세인트존구
DM,Saint George,세인트조지구
DM,Saint David,세인트데이비드구
DM,Saint Andrew,세인트앤드루구
DE,Hessen,헤센 주
DE,Brandenburg,브란덴부르크 주
DE,Saxony-Anhalt,작센안할트 주
DE,Nordrhein-Westfalen,노르트라인베스트팔렌 주
DE,Lower Saxony,니더작센 주
DE,Mecklenburg-Western Pomerania,메클렌부르크포어포메른 주
DE,Bavaria,바이에른 자유주
DE,Baden-Württemberg,바덴뷔르템베르크주
DE,Schleswig-Holstein,슐레스비히홀슈타인 주
DE,Thuringia,튀링겐 자유주
DE,Free and Hanseatic City of Hamburg,자유 한자 도시 함부르크
DE,Bremen,자유 한자 도시 브레멘
DE,Rheinland-Pfalz,라인란트팔츠주
DE,Saxony,작센 자유주
DE,Saarland,자를란트주
DE,Land Berlin,베를린
TL,Oecusse,Oecusse
TL,Ainaro,아이나루현
TL,Aileu,아일레우현
TL,Bobonaro,보보나루현
TL,Baucau,바우카우현
TL,Ermera,에르메라현
TL,Díli,딜리현
TL,Manufahi,마누파이현
TL,Manatuto,마나투투현
TL,Liquiçá,리키사현
TL,Lautein,라우텡현
TL,Viqueque,비케크현
TL,Kovalima,코바리마 현
LA,Xaignabouli,사이냐불리 주
LA,Luang Prabang Province,루앙프라방 주
LA,Khammouan,캄무안 주
LA,Houaphan,후아판 주
LA,Champasak,참빠삭 주
LA,Attapu,앗타푸 주
LA,Xiangkhouang,씨앙쿠앙 주
LA,Vientiane Province,비엔티안 주
LA,Khouèng Savannakhét,사완나켓 주
LA,Salavan,살라완 주
LA,Khouèng Phôngsali,퐁살리 주
LA,Khouèng Oudômxai,우돔싸이 주
LA,Louangnamtha,루앙남타 주
LA,Khouèng Xékong,세콩 주
LA,Khouèng Bokèo,보케오 주
LA,Bolikhamxai,볼리캄사이 주
LA,Vientiane Prefecture,비엔티안 도
LA,Xaisomboun Province,Xaisomboun Province
LR,Grand Kru County,그랜드크루주
LR,Margibi County,마르지비주
LR,River Cess County,리버세스주
LR,Gbarpolu County,바르폴루주
LR,River Gee County,리버지주
LR,Sinoe County,시노에주
LR,Nimba County,님바주
LR,Montserrado County,몽세라도주
LR,Maryland County,메릴랜드주
LR,Lofa County,로파주
LR,Grand Gedeh County,그랜드게데주
LR,Grand Cape Mount County,그랜드케이프마운트주
LR,Grand Bassa County,그랜드바사주
LR,Bong County,봉주
LR,Bomi County,보미주
LV,Valmiera,Valmiera
LV,Valka Municipality,발카시
LV,Tukuma novads,투쿰스시
LV,Talsi Municipality,Talsi Municipality
LV,Aizkraukles novads,Aizkraukles novads
LV,Ādažu Novads,Ādažu Novads
LV,Saulkrastu Novads,Saulkrastu Novads
LV,Ventspils Municipality,벤츠필스시
LV,Ventspils,벤츠필스
LV,Saldus Municipality,Saldus Municipality
LV,Rīga,Rīga
LV,Rēzeknes Novads,Rēzeknes Novads
LV,Rēzekne,Rēzekne
LV,Preiļi Municipality,Preiļi Municipality
LV,Ogres novads,오그레시
LV,Madona Municipality,Madona Municipality
LV,Ludzas novads,Ludzas novads
LV,Limbažu novads,Limbažu novads
LV,Liepāja,리예파야
LV,Kuldīgas novads,Kuldīgas novads
LV,Krāslavas novads,Krāslavas novads
LV,Jūrmala,Jūrmala
LV,Jelgavas novads,Jelgavas novads
LV,Jelgava,옐가바
LV,Jēkabpils Municipality,예캅필스 시
LV,Gulbenes novads,굴베네시
LV,Dobeles novads,Dobeles novads
LV,Daugavpils,다우가프필스
LV,Cēsu Novads,체시스시
LV,Bauskas Novads,Bauskas Novads
LV,Balvu Novads,Balvu Novads
LV,Alūksnes Novads,알룩스네시
LV,Mārupes Novads,Mārupes Novads
LV,Olaines Novads,올라이네시
LV,Ķekavas Novads,체카바시
LV,Salaspils Novads,살라스필스시
LV,Līvānu Novads,리바니시
LV,Varakļānu Novads,바라클랴니시
LV,Ropažu Novads,로파지시
LV,Siguldas Novads,Siguldas Novads
LV,Smiltenes Novads,Smiltenes Novads
LV,South Kurzeme Municipality,South Kurzeme Municipality
LV,Augšdaugava Municipality,Augšdaugava Municipality
RU,Transbaikal Territory,Transbaikal Territory
RU,Sakhalin Oblast,사할린주
RU,Magadan Oblast,마가단주
RU,Kamchatka Krai,캄차카
RU,Chukotskiy Avtonomnyy Okrug,축치 자치구
RU,Amur Oblast,아무르주
RU,Respublika Buryatiya,Respublika Buryatiya
RU,Omsk Oblast,옴스크주
RU,Novosibirsk Oblast,노보시비르스크주
RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra
RU,Kemerovo Oblast,Kemerovo Oblast
RU,Krasnoyarskiy Kray,Krasnoyarskiy Kray
RU,Yamalo-Nenetskiy Avtonomnyy Okrug,야말로네네츠 자치구
RU,Tyumenskaya Oblast’,튜멘주
RU,Respublika Tyva,투바 공화국
RU,Sverdlovsk Oblast,스베르들롭스크주
RU,Altayskiy Kray,알타이 지방
RU,Khabarovskiy Kray,하바롭스크 지방
RU,Irkutsk Oblast,Irkutsk Oblast
RU,Primorskiy Kray,프리모르스키 지방
RU,Respublika Altay,알타이 공화국
RU,Chelyabinsk Oblast,첼랴빈스크주
RU,Nenetskiy Avtonomnyy Okrug,네네츠 자치구
RU,Komi,코미 공화국
RU,Respublika Kareliya,카렐리야 공화국
RU,Kalmykiya,칼미크 공화국
RU,Kirov Oblast,키로프주
RU,Vologda Oblast,볼로그다주
RU,Volgograd Oblast,볼고그라드주
RU,Tver Oblast,트베리주
RU,Perm Krai,페름 지방
RU,Orenburg Oblast,Orenburg Oblast
RU,Rostov Oblast,로스토프주
RU,Saratovskaya Oblast,사라토프주
RU,Murmansk Oblast,무르만스크주
RU,Bashkortostan,바시키르 공화국
RU,Arkhangelsk Oblast,아르한겔스크주
RU,Respublika Khakasiya,하카스 공화국
RU,Kurgan Oblast,쿠르간주
RU,Yevrey (Jewish) Autonomous Oblast,유대인 자치주
RU,Vladimirskaya Oblast’,블라디미르주
RU,Krasnodarskiy Kray,크라스노다르 지방
RU,Respublika Mariy-El,마리옐 공화국
RU,Kostroma Oblast,코스트로마주
RU,Kaluga Oblast,칼루가주
RU,Leningrad Oblast,레닌그라드주
RU,Kursk Oblast,쿠르스크주
RU,Stavropol Kray,스타브로폴 지방
RU,Voronezh Oblast,보로네시주
RU,Smolensk Oblast,스몰렌스크주
RU,Ulyanovsk Oblast,울리야놉스크 주
RU,Udmurtskaya Respublika,Udmurtskaya Respublika
RU,Yaroslavl Oblast,야로슬라블주
RU,Tatarstan,Tatarstan
RU,Tambov Oblast,탐보프주
RU,Penza Oblast,펜자주
RU,Novgorod Oblast,노브고로드주
RU,Oryol Oblast,오룔주
RU,Ryazan Oblast,랴잔주
RU,Samara Oblast,사마라주
RU,Pskov Oblast,프스코프주
RU,Moscow Oblast,모스크바주
RU,Respublika Mordoviya,모르도바 공화국
RU,Belgorod Oblast,벨고로드주
RU,Nizhny Novgorod Oblast,니즈니노브고로드주
RU,Bryansk Oblast,브랸스크주
RU,Dagestan,다게스탄 공화국
RU,Astrakhan Oblast,아스트라한주
RU,North Ossetia-Alania,북오세티야 공화국
RU,Lipetsk Oblast,리페츠크주
RU,Karachayevo-Cherkesiya,카라차예보체르케스카야 공화국
RU,Kaliningrad Oblast,칼리닌그라드주
RU,Kabardino-Balkarskaya Respublika,카바르디노발카르 공화국
RU,Ivanovo Oblast,이바노보주
RU,Sankt-Peterburg,상트페테르부르크
RU,Tula Oblast,툴라주
RU,Moskva,Moskva
RU,Respublika Ingushetiya,Respublika Ingushetiya
RU,Respublika Adygeya,아디게야 공화국
RU,Chechenskaya Respublika,체첸 공화국
RU,Chuvashskaya Respublika,추바시 공화국
RU,Tomsk Oblast,Tomsk Oblast
RU,Republic of Sakha (Yakutia),Republic of Sakha (Yakutia)
LB,Mohafazat Mont-Liban,Mohafazat Mont-Liban
LB,Beyrouth,Beyrouth
LB,Mohafazat Liban-Nord,Mohafazat Liban-Nord
LB,Mohafazat Liban-Sud,남부주
LB,Mohafazat Béqaa,Mohafazat Béqaa
LB,Mohafazat Nabatîyé,Mohafazat Nabatîyé
LB,Mohafazat Aakkâr,Mohafazat Aakkâr
LB,Mohafazat Baalbek-Hermel,바알베크헤르멜주
LS,Thaba-Tseka,타바체카구
LS,Quthing,쿠팅구
LS,Qacha’s Nek,카차스네크구
LS,Mokhotlong,모코틀롱구
LS,Mohale’s Hoek District,모할레스후크구
LS,Maseru,마세루구
LS,Mafeteng District,마페텡구
LS,Leribe District,레리베구
LS,Butha-Buthe,부타부테구
LS,Berea,베레아구
RE,Réunion,레위니옹
RO,Ilfov,일포브주
RO,Caraş-Severin,카라슈세베린주
RO,Călăraşi,컬러라시주
RO,Buzău,부저우주
RO,București,București
RO,Braşov,브라쇼브주
RO,Brăila,브러일라주
RO,Botoşani,보토샤니주
RO,Bistriţa-Năsăud,비스트리차너서우드주
RO,Bihor,비호르주
RO,Vrancea,브란체아주
RO,Vâlcea,블체아주
RO,Vaslui,Vaslui
RO,Sălaj,설라지주
RO,Prahova,프라호바주
RO,Olt,올트주
RO,Neamţ,네암츠주
RO,Mureş,무레슈주
RO,Mehedinţi,메헤딘치주
RO,Maramureş,마라무레슈주
RO,Iaşi,이아시주
RO,Ialomiţa,이알로미차주
RO,Hunedoara,후네도아라주
RO,Harghita,Harghita
RO,Gorj,고르지주
RO,Giurgiu,지우르지우주
RO,Galaţi,갈라치주
RO,Dolj,돌지주
RO,Dâmboviţa,듬보비차주
RO,Covasna,코바스나주
RO,Constanța,콘스탄차주
RO,Cluj,클루지주
RO,Tulcea,툴체아주
RO,Timiş,티미슈주
RO,Teleorman,텔레오르만주
RO,Suceava,수체아바주
RO,Sibiu,시비우주
RO,Satu Mare,사투마레주
RO,Bacău,바커우주
RO,Argeş,아르제슈주
RO,Arad,아라드주
RO,Alba,알바주
LU,Wiltz,Wiltz
LU,Vianden,Vianden
LU,Remich,Remich
LU,Redange,Redange
LU,Mersch,Mersch
LU,Luxembourg,Luxembourg
LU,Grevenmacher,Grevenmacher
LU,Canton d'Esch-sur-Alzette,Canton d'Esch-sur-Alzette
LU,Canton d'Echternach,Canton d'Echternach
LU,Diekirch,Diekirch
LU,Clervaux,Clervaux
LU,Capellen,Capellen
RW,Northern Province,북부주
RW,Eastern Province,동부주
RW,Kigali Province,Kigali Province
RW,Western Province,서부주
RW,Southern Province,남부주
LY,Al Kufrah,알쿠프라 주
LY,Al Jufrah,주프라 주
LY,Murzuq,무르주크주
LY,Wādī ash Shāţi’,Wādī ash Shāţi’
LY,Al Wāḩāt,Al Wāḩāt
LY,Nālūt,Nālūt
LY,Sha‘bīyat Mişrātah,Sha‘bīyat Mişrātah
LY,Ghāt,Ghāt
LY,Surt,Surt
LY,Al Buţnān,Al Buţnān
LY,Jabal al Gharbi District,알자발알가르비 주
LY,Wādī al Ḩayāt,Wādī al Ḩayāt
LY,An Nuqāţ al Khams,An Nuqāţ al Khams
LY,Darnah,Darnah
LY,Sha‘bīyat Banghāzī,Sha‘bīyat Banghāzī
LY,Al Marj,Al Marj
LY,Sabhā,세바주
LY,Az Zāwiyah,Az Zāwiyah
LY,Tripoli,Tripoli
LY,Al Jabal al Akhḑar,Al Jabal al Akhḑar
LY,Al Jafārah,Al Jafārah
LY,Al Marqab,Al Marqab
LT,Alytus County,알리투스주
LT,Kaunas County,카우나스주
LT,Klaipėda County,클라이페다주
LT,Marijampolė County,마리얌폴레주
LT,Panevėžys,파네베지스주
LT,Šiauliai County,샤울랴이주
LT,Tauragė County,타우라게주
LT,Telšių apskritis,텔샤이주
LT,Utena County,우테나주
LT,Vilnius County,빌뉴스주
LI,Vaduz,Vaduz
LI,Triesenberg,트리젠베르크
LI,Triesen,트리젠
LI,Schellenberg,Schellenberg
LI,Schaan,샨
LI,Ruggell,루겔
LI,Planken,Planken
LI,Mauren,마우렌
LI,Gamprin,감프린
LI,Eschen,에셴
LI,Balzers,Balzers
MG,Diana Region,Diana Region
MG,Sava Region,Sava Region
MG,Sofia Region,Sofia Region
MG,Analanjirofo Region,Analanjirofo Region
MG,Boeny Region,Boeny Region
MG,Betsiboka Region,Betsiboka Region
MG,Alaotra Mangoro Region,Alaotra Mangoro Region
MG,Melaky Region,Melaky Region
MG,Atsinanana Region,Atsinanana Region
MG,Menabe Region,Menabe Region
MG,Ihorombe Region,Ihorombe Region
MG,Anosy Region,Anosy Region
MG,Atsimo-Andrefana Region,Atsimo-Andrefana Region
MG,Bongolava Region,Bongolava Region
MG,Vakinankaratra Region,Vakinankaratra Region
MG,Itasy Region,Itasy Region
MG,Analamanga Region,Analamanga Region
MG,Amoron'i Mania Region,Amoron'i Mania Region
MG,Haute Matsiatra Region,Haute Matsiatra Region
MG,Atsimo-Atsinanana Region,Atsimo-Atsinanana Region
MG,Androy Region,Androy Region
MG,Fitovinany Region,Fitovinany Region
MG,Vatovavy Region,Vatovavy Region
MQ,Martinique,마르티니크
MH,Ailinginae Atoll,Ailinginae Atoll
MH,Ailinglaplap Atoll,Ailinglaplap Atoll
MH,Ailuk Atoll,Ailuk Atoll
MH,Arno Atoll,Arno Atoll
MH,Aur Atoll,Aur Atoll
MH,Bikar Atoll,Bikar Atoll
MH,Bikini Atoll,Bikini Atoll
MH,Ebon Atoll,Ebon Atoll
MH,Enewetak Atoll,Enewetak Atoll
MH,Erikub Atoll,Erikub Atoll
MH,Jaluit Atoll,Jaluit Atoll
MH,Kwajalein Atoll,Kwajalein Atoll
MH,Lae Atoll,Lae Atoll
MH,Likiep Atoll,Likiep Atoll
MH,Majuro Atoll,Majuro Atoll
MH,Maloelap Atoll,Maloelap Atoll
MH,Mili Atoll,Mili Atoll
MH,Namdrik Atoll,Namdrik Atoll
MH,Namu Atoll,Namu Atoll
MH,Rongelap Atoll,Rongelap Atoll
